aspectRatio,autoPlay,background,derivatives,detailUrl,download,mediaObjectId,mediaType,metadata,mimetype,shortName,source_url,title,source_height,scaleFactor_levels,source_size,source_width,resource_url,resource_num,segment_num,id,info,iiif_url,other_name
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33282/,0,0,http://www.loc.gov/item/afc9999005.33282/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33282:0310/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-8763/0095.jp2,,901.0,6.0,67159.0,1491.0,https://www.loc.gov/resource/afc.afc9999005-8763/,0,0,http://www.loc.gov/item/afc9999005.8763/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/full/pct:100/0/default.jpg,0095.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/full/pct:100.0/0/default.jpg,,901.0,1.0,,1491.0,https://www.loc.gov/resource/afc.afc9999005-8763/,0,0,http://www.loc.gov/item/afc9999005.8763/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/full/pct:50.0/0/default.jpg,,450.0,1.0,,745.0,https://www.loc.gov/resource/afc.afc9999005-8763/,0,0,http://www.loc.gov/item/afc9999005.8763/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-8763:0095/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33280/0308.jp2,,892.0,6.0,65364.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33280/,0,0,http://www.loc.gov/item/afc9999005.33280/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/full/pct:100/0/default.jpg,0308.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33280/,0,0,http://www.loc.gov/item/afc9999005.33280/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33280/,0,0,http://www.loc.gov/item/afc9999005.33280/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33280:0308/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33281/0309.jp2,,892.0,6.0,65536.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33281/,0,0,http://www.loc.gov/item/afc9999005.33281/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/full/pct:100/0/default.jpg,0309.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33281/,0,0,http://www.loc.gov/item/afc9999005.33281/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33281/,0,0,http://www.loc.gov/item/afc9999005.33281/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33281:0309/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33279/0307.jp2,,892.0,6.0,65500.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33279/,0,0,http://www.loc.gov/item/afc9999005.33279/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/full/pct:100/0/default.jpg,0307.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33279/,0,0,http://www.loc.gov/item/afc9999005.33279/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33279/,0,0,http://www.loc.gov/item/afc9999005.33279/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33279:0307/full/pct:50.0/0/default.jpg,
,,,,,,,,,image/jp2,,https://tile.loc.gov/storage-services/public/afc/afc9999005-33278/0306.jp2,,892.0,6.0,65567.0,1470.0,https://www.loc.gov/resource/afc.afc9999005-33278/,0,0,http://www.loc.gov/item/afc9999005.33278/,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/info.json,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/full/pct:100/0/default.jpg,0306.jp2
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/full/pct:100.0/0/default.jpg,,892.0,1.0,,1470.0,https://www.loc.gov/resource/afc.afc9999005-33278/,0,0,http://www.loc.gov/item/afc9999005.33278/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/full/pct:100.0/0/default.jpg,
,,,,,,,,,image/jpeg,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/full/pct:50.0/0/default.jpg,,446.0,1.0,,735.0,https://www.loc.gov/resource/afc.afc9999005-33278/,0,0,http://www.loc.gov/item/afc9999005.33278/,,https://tile.loc.gov/image-services/iiif/public:afc:afc9999005-33278:0306/full/pct:50.0/0/default.jpg,
